Begin Time - hh:mm:ss.ms	Begin Time - ss.msec	End Time - hh:mm:ss.ms	End Time - ss.msec	Duration - hh:mm:ss.ms	Duration - ss.msec	REF-ID	Phonetic Transcription	Original Transcription (Richard Griscom)	Original Transcription (Yonah Ndege)	Translation	
00:21:41.306	1301.306	00:21:42.355	1302.355	00:00:01.049	1.049	2018-07-26_Omaiyo_2_088	ŋ̀gàìgárɛ́gɛ̀dʒ	ǹgàgárákèdʒ	ngeregej	moons
00:21:50.230	1310.23	00:21:51.484	1311.484	00:00:01.254	1.254	2018-07-26_Omaiyo_2_089	ŋ̀gàìgárɛ́gɛ̀dʒ	ǹgàgárákèdʒ	ngeregej	moons
00:22:17.849	1337.849	00:22:18.878	1338.878	00:00:01.029	1.029	2018-07-26_Omaiyo_2_090	bànáktà	bànáktà	banakta	hand
00:22:26.586	1346.586	00:22:27.656	1347.656	00:00:01.070	1.07	2018-07-26_Omaiyo_2_091	bànáktà	bànáktà	banakta	hand
00:22:29.424	1349.424	00:22:30.246	1350.246	00:00:00.822	0.822	2018-07-26_Omaiyo_2_092	bànáktà	bànáktà	banakta	hand
00:22:32.035	1352.035	00:22:32.755	1352.755	00:00:00.720	0.72	2018-07-26_Omaiyo_2_093	bànáktà	bànáktà	banakta	hand
00:22:33.577	1353.577	00:22:34.276	1354.276	00:00:00.699	0.699	2018-07-26_Omaiyo_2_094	bànáktà	bànáktà	banakta	hand
00:22:35.901	1355.901	00:22:37.155	1357.155	00:00:01.254	1.254	2018-07-26_Omaiyo_2_095	bànáktà	bànáktà	banakta	hand
00:22:39.273	1359.273	00:22:40.239	1360.239	00:00:00.966	0.966	2018-07-26_Omaiyo_2_096	bànáktà	bànáktà	banakta	hand
00:23:09.206	1389.206	00:23:10.583	1390.583	00:00:01.377	1.377	2018-07-26_Omaiyo_2_097	ŋ̀gárúrú(nì)	ǹgárárùm(i)	ngarurumi	bone(s)
00:23:13.380	1393.38	00:23:14.490	1394.49	00:00:01.110	1.11	2018-07-26_Omaiyo_2_098	ŋ̀gárúrú(nì)	ǹgárárùm(i)	ngarurumi	bone(s)
00:23:36.630	1416.63	00:23:37.782	1417.782	00:00:01.152	1.152	2018-07-26_Omaiyo_2_099	ŋ̀gárúrú(nì)	ǹgárárùm(i)	ngarurumi	bone(s)
