English Translation,Reliability Rating,"Richard Griscom (2018, female speaker)","Yonah Ndege (2018, female speaker)","Richard Griscom (2018, male speakers)","Yonah Ndege (2018, male speakers)",Daudi Peterson (2018),Paulo Parana (2018),Alina (2018),Olewanga (2017),Daudi (2014),Dismas (2014),Bunga (2014),Sands (2014),Daudi (2012)
small,1,,,,,,,,,maimaiyo,maimaiyio,maimayo,[ma(j)emajo],
short,1,,,,,,,,,makunyai,makunyiaye,makunyai,[ma.ku.ɲa.e],
thin,1,,,,,,,,,makesaya,makesaya,makesaya,[makeˈsaja],
wife,1,,,,,,,,,,,,,uhaineng’we
"husband, older man, elder",4,,,,,paiyanda,payada,payanda,payasa “elder”,payasita,payiasta,ayasita,[paˈjasɨ̥ta],"paiyasita, payasita “elder”"
animal,1,,,,,,,,,ndahohoroma,nda'o'oroma,ndahehoroma,[ndaˈhohoɾoma],
snake,1,,,,,,,,,kwerita,kuerita,kwerita,[kueɾitʰa],
snake,1,,,,,,,,,,,,,masaa
stick (walking),1,,,,,,,,,emudi (Maa),emudi,engudi,[jaŋudi],
leaf,1,,,,,,,,,esawarka,esewarker,,[ɛsawaka(r)],
bark - tree,1,,,,,,,,,si'ra're,sirare,siari,[siˈɾaɾe],
rope,1,,,,,,,,,loota,loota,rota,[loːta],
skin,1,,,,,,,,,alemusha,alemusha,,[alɪmʊʃa],
tail,1,,,,,,,,,leng'wata,leng'wata,eremwata,[lɛŋwata],
fingernail,1,,,,,,,,,omenyo,omenyo,omenyo,"[hʊmɛːnno, homɛːnno]",
guts,1,,,,,,,,,engitamariko,engetamariko,engetamariko,[ɪŋɡɪtamaɾikʊ[,
neck,1,,,,,,,,,sokopeta,sokopeta,sogobeda,[soɣoˈβɛra],
breast,1,,,,,,,,,ufanaa,ufana,ofana,[u.fa.na],
to bite,1,,,,,,,,,mairuaka,mairwaka,mairuaka,[ma.e.ɾu.a.ka],
to suck,1,,,,,,,,,mainyonya (Swa),mainyonya,,[ma.e.ɲo.ɲa],
to spit,1,,,,,,,,,haroma,aroma,,[haːroma],
to vomit,1,,,,,,,,,ngainyaga,ngainyaga,,[ɡa.iɲaɡa],
to hear,1,,,,,,,,,kupande,kupandei,kupandei,"[koβandeː, kuβandeː]",
to know,1,,,,,,,,,uhaitaka,uhaitaka,kuhaitaka,"[uhaetʰaka, uw̥aetaka]",
to kill,1,,,,,,,,,uteri,uteri,uteli,[utʰɛːɾi],
to fight,1,,,,,,,,,orkitita,orkitita,urikeriteta,[ɔrkɛtʰɛtʰa],
to hunt,1,,,,,,,,,olehutai,oleutai,ulehutai, [ulɪhuta.i],
hunt,1,,,,,,,,,,,,,oho maimaiyu
to hit,1,,,,,,,,,kirrtita,kirtita,getita,[mwambiɾita],
to cut,1,,,,,,,,,mwambirita,mambirita,mambirita,[hapiɾi],
to stab,1,,,,,,,,,hapiri,apiri,hapili,"[ɲɛtɛt, ɲɛtɛn]",
to walk,1,,,,,,,,,neten,ng'eten,neten,"[k'a.itwa, ha.itwa]",
to come,1,,,,,,,,,kaitwa,kaitwa,gaitwa,[kʰɛrtʰeta],
to turn,1,,,,,,,,,mainyage,mainyake,,[ma.ɪ.ɲa.ɣɪ],
to fall,1,,,,,,,,,osisiro,osisiro,,[orsɪsɪɾo],
to give,1,,,,,,,,,anainyaka,anainyiaka,,[ana.iɲaɣa],
to squeeze,1,,,,,,,,,angamutu,ngamutu,ngamutu,[ŋɡamu(d)ru],
to rub,1,,,,,,,,,arang'an,rang'aan,arang'ani,[raŋaːn],
to pull,1,,,,,,,,,kururianda,kururianda,hurianda,[huri.anda],
to throw,1,,,,,,,,,hopirita,opirita,hobilita,[hobiɾitˢa],
to sew,1,,,,,,,,,kalemisha,kalemusha,ngaremshai,"[ʔalemuʃa, kalemuʃa]",
lake,1,,,,,,,,,hailugo,ailugo,,[ha.i.luɡʊ],
ash,1,,,,,,,,,narek,narek,nareki,[maɾɛkɨ̥],
road - path,1,,,,,,,,,rang'an,rang'aan,rangan,[raŋan],
year,1,,,,,,,,,ormitindu,ormitindu,holimitundu,"[ɔɾimidundu, ɔɾimiɡidu, ɔɾimidindu",
cold,1,,,,,,,,,onyerta,ornyeta,kon'nyerita,"[olɲɛrta, oɺɲɛrta] ",
cold,1,,,,,,,,,,,,,ohondukweka
full,,,,,,,,,,ashang'a,ashang'a,ashang'a,"[ɔʃaŋa, aʃaŋa]",
good,1,,,,,,,,,iringiso,iringiso,iringiso,"[ɪɾiŋɡisɔ, ɪɾiŋɡiso]",
good,1,,,,,,,,,,,,,uhaitamaimaiyo
bad,1,,,,,,,,,urshalat,orshalat,goshaata,"[ʊʃar.laqχ, ʊʃar.laʔ, ʊʃar.latʰ]",
bad,1,,,,,,,,,,,,,hotoma
dirty,1,,,,,,,,,torigiso,torikiso,torigiso,[tʰʊɾiɡiso],
round,1,,,,,,,,,magindu,makindu,makindu,"[maɣindu, maɾɣindu]",
wet,1,,,,,,,,,haruguta,aruguta,,[haru̙ɡuta],
dry,1,,,,,,,,,nakaushi,nakaushe,nagawisho,[naɡauʃi],
near,1,,,,,,,,,onyarta,ornyata,,[ oˈɲarta],
far,1,,,,,,,,,mamirita,mamirita,,[mamiɾitʰa],
right,1,,,,,,,,,ohaihariko,ohaeariko,hohaiharigo,[oha.e.haɾikʊ],
left,1,,,,,,,,,ngaiyanda,ngayianda,ngayanda,[ŋɡaijanda],
in,1,,,,,,,,,mainyaki,mainyiake,mainyagi,[ ma.i.ɲaɣɪ],
greeting,1,,,,,,,,,,,,,tashesh
answer to greeting,1,,,,,,,,,,,,,iyaa
where are you from?,1,,,,,,,,,,,,,hanokining
animals and birds,1,,,,,,,,,,,,,horaita
warrior,1,,,,,,,,,,,,,sharumika
my father,1,,,,,,,,,,,,,ndaho ndongoiyata
grandfather,1,,,,,,,,,,,,,kowanderenga
grandmother,1,,,,,,,,,,,,,utumweka
large,2,,,,,peneeta hok “big knife”,,,,,,,,"hawako, peneyta hawako “big knife”"
